scene_id,object_names,scales
1-1,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-2,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-3,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-4,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-5,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-6,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-7,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-8,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-9,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-10,"['pudding_box', 'wood_block', 'jenga', 'potted_meat_can', 'master_chef_can']","[0.5, 0.5, 1.0, 1.0, 0.5]"
1-11,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-12,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-13,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-14,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-15,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-16,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-17,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-18,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-19,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-20,"['rubiks_cube', 'pudding_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[1.0, 0.5, 0.5, 0.5, 0.5]"
1-21,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-22,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-23,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-24,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-25,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-26,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-27,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-28,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-29,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-30,"['cracker_box', 'sugar_box', 'pudding_box', 'tuna_fish_can', 'tomato_soup_can']","[0.25, 0.5, 0.5, 0.5, 1.0]"
1-31,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-32,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-33,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-34,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-35,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-36,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-37,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-38,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-39,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-40,"['pudding_box', 'gelatin_box', 'wood_block', 'tuna_fish_can', 'potted_meat_can']","[0.5, 1.0, 0.5, 0.5, 1.0]"
1-41,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-42,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-43,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-44,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-45,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-46,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-47,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-48,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-49,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-50,"['pudding_box', 'cracker_box', 'wood_block', 'master_chef_can', 'tuna_fish_can']","[0.5, 0.25, 0.5, 0.5, 0.5]"
1-51,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
1-52,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
1-53,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
1-54,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
1-55,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
1-56,"['pudding_box', 'jenga', 'gelatin_box', 'tomato_soup_can', 'potted_meat_can']","[0.5, 1.0, 1.0, 1.0, 1.0]"
